label,views,likes,comments,shares,saves,image_src,alt_text,scraped_at
image1,4.4K,,,,,,,2025-11-25T21:42:38.243383
image2,3.5K,,,,,,,2025-11-25T21:42:38.243383
image3,3.4K,,,,,,,2025-11-25T21:42:38.243383
image4,2.7K,,,,,,,2025-11-25T21:42:38.243383
image5,2.5K,,,,,,,2025-11-25T21:42:38.243383
image6,2.5K,,,,,,,2025-11-25T21:42:38.243383
image7,2.3K,,,,,,,2025-11-25T21:42:38.243383
image8,2.2K,,,,,,,2025-11-25T21:42:38.243383
image9,2.2K,,,,,,,2025-11-25T21:42:38.243383
image10,2.1K,,,,,,,2025-11-25T21:42:38.243383
image11,2.1K,,,,,,,2025-11-25T21:42:38.243383
image12,1.8K,,,,,,,2025-11-25T21:42:38.243383
image13,1.5K,,,,,,,2025-11-25T21:42:38.243383
image14,1.5K,,,,,,,2025-11-25T21:42:38.243383
image15,1.1K,,,,,,,2025-11-25T21:42:38.243383
image16,977,,,,,,,2025-11-25T21:42:38.244478
image17,831,,,,,,,2025-11-25T21:42:38.244478
image18,822,,,,,,,2025-11-25T21:42:38.244478
image19,743,,,,,,,2025-11-25T21:42:38.244478
image20,679,,,,,,,2025-11-25T21:42:38.244478
image21,675,,,,,,,2025-11-25T21:42:38.244478
image22,674,,,,,,,2025-11-25T21:42:38.244478
image23,639,,,,,,,2025-11-25T21:42:38.244478
image24,543,,,,,,,2025-11-25T21:42:38.244478
image25,487,,,,,,,2025-11-25T21:42:38.244478
image26,407,,,,,,,2025-11-25T21:42:38.244478
image27,389,,,,,,,2025-11-25T21:42:38.244478
image28,366,,,,,,,2025-11-25T21:42:38.244478
image29,355,,,,,,,2025-11-25T21:42:38.244478
image30,300,,,,,,,2025-11-25T21:42:38.245812
image31,289,,,,,,,2025-11-25T21:42:38.245812
image32,285,,,,,,,2025-11-25T21:42:38.245812
image33,283,,,,,,,2025-11-25T21:42:38.245812
image34,281,,,,,,,2025-11-25T21:42:38.245812
image35,273,,,,,,,2025-11-25T21:42:38.245812
image36,272,,,,,,,2025-11-25T21:42:38.245812
image37,269,,,,,,,2025-11-25T21:42:38.245812
image38,266,,,,,,,2025-11-25T21:42:38.245812
image39,261,,,,,,,2025-11-25T21:42:38.245812
image40,260,,,,,,,2025-11-25T21:42:38.245812
image41,259,,,,,,,2025-11-25T21:42:38.245812
image42,259,,,,,,,2025-11-25T21:42:38.245812
image43,255,,,,,,,2025-11-25T21:42:38.246811
image44,250,,,,,,,2025-11-25T21:42:38.246811
image45,248,,,,,,,2025-11-25T21:42:38.246811
image46,246,,,,,,,2025-11-25T21:42:38.246811
image47,245,,,,,,,2025-11-25T21:42:38.246811
image48,244,,,,,,,2025-11-25T21:42:38.246811
image49,241,,,,,,,2025-11-25T21:42:38.246811
image50,241,,,,,,,2025-11-25T21:42:38.246811
image51,239,,,,,,,2025-11-25T21:42:38.246811
image52,239,,,,,,,2025-11-25T21:42:38.246811
image53,234,,,,,,,2025-11-25T21:42:38.246811
image54,230,,,,,,,2025-11-25T21:42:38.246811
image55,228,,,,,,,2025-11-25T21:42:38.247854
image56,226,,,,,,,2025-11-25T21:42:38.247854
image57,226,,,,,,,2025-11-25T21:42:38.247854
image58,221,,,,,,,2025-11-25T21:42:38.247854
image59,219,,,,,,,2025-11-25T21:42:38.247854
image60,212,,,,,,,2025-11-25T21:42:38.247854
image61,211,,,,,,,2025-11-25T21:42:38.247854
image62,204,,,,,,,2025-11-25T21:42:38.247854
image63,202,,,,,,,2025-11-25T21:42:38.247854
image64,200,,,,,,,2025-11-25T21:42:38.248735
image65,199,,,,,,,2025-11-25T21:42:38.248735
image66,194,,,,,,,2025-11-25T21:42:38.248735
image67,191,,,,,,,2025-11-25T21:42:38.248735
image68,190,,,,,,,2025-11-25T21:42:38.248735
image69,182,,,,,,,2025-11-25T21:42:38.248735
image70,176,,,,,,,2025-11-25T21:42:38.248735
image71,174,,,,,,,2025-11-25T21:42:38.248735
image72,170,,,,,,,2025-11-25T21:42:38.248735
image73,169,,,,,,,2025-11-25T21:42:38.248735
image74,168,,,,,,,2025-11-25T21:42:38.248735
image75,165,,,,,,,2025-11-25T21:42:38.248735
image76,165,,,,,,,2025-11-25T21:42:38.248735
image77,159,,,,,,,2025-11-25T21:42:38.248735
image78,158,,,,,,,2025-11-25T21:42:38.248735
image79,158,,,,,,,2025-11-25T21:42:38.248735
image80,153,,,,,,,2025-11-25T21:42:38.248735
image81,150,,,,,,,2025-11-25T21:42:38.248735
image82,149,,,,,,,2025-11-25T21:42:38.248735
image83,141,,,,,,,2025-11-25T21:42:38.248735
image84,141,,,,,,,2025-11-25T21:42:38.250231
image85,136,,,,,,,2025-11-25T21:42:38.250231
image86,133,,,,,,,2025-11-25T21:42:38.250231
image87,127,,,,,,,2025-11-25T21:42:38.250231
image88,126,,,,,,,2025-11-25T21:42:38.250231
image89,115,,,,,,,2025-11-25T21:42:38.250231
image90,75,,,,,,,2025-11-25T21:42:38.250231
